timestamp,algorithm,evacuated,deaths,deaths_floor_0,evacuated_age_adults,evacuated_age_children,evacuated_age_elderly,evacuated_stafftype_civilian,evacuated_stafftype_staff,datetime
3,PSO SFM(Assist Mobile),15,105,108,9,2,4,13,2,2025-01-01T00:00:03
3,PSO SFM(Assist Elderly),12,108,110,7,1,4,10,2,2025-01-01T00:00:03
3,PSO SFM(Top Evac),16,104,107,8,2,6,15,1,2025-01-01T00:00:03
3,PSO SFM(Avoid Top),16,104,107,9,1,6,15,1,2025-01-01T00:00:03
3,PSO SFM(Zone Sweep),14,106,109,8,0,6,13,1,2025-01-01T00:00:03
3,MFO SFM,13,107,109,7,1,5,12,1,2025-01-01T00:00:03
3,ACO SFM,19,101,106,12,1,6,16,3,2025-01-01T00:00:03
4,Random,4,116,117,3,0,1,3,1,2025-01-01T00:00:04
4,PSO,29,91,97,16,1,12,0,29,2025-01-01T00:00:04
4,SFM,19,101,102,12,1,6,16,3,2025-01-01T00:00:04
4,PSO SFM(Staff all evacuate),17,103,105,9,1,7,14,3,2025-01-01T00:00:04
4,PSO SFM(Staff all assist),18,102,103,10,2,6,18,0,2025-01-01T00:00:04
4,PSO SFM(Half Assist),17,103,104,10,1,6,15,2,2025-01-01T00:00:04
4,PSO SFM(Assist Mobile),18,102,105,11,2,5,16,2,2025-01-01T00:00:04
4,PSO SFM(Assist Elderly),14,106,108,9,1,4,11,3,2025-01-01T00:00:04
4,PSO SFM(Top Evac),19,101,104,9,2,8,18,1,2025-01-01T00:00:04
4,PSO SFM(Avoid Top),18,102,104,10,1,7,17,1,2025-01-01T00:00:04
4,PSO SFM(Zone Sweep),16,104,106,8,1,7,15,1,2025-01-01T00:00:04
4,MFO SFM,15,105,107,8,1,6,14,1,2025-01-01T00:00:04
4,ACO SFM,21,99,101,12,1,8,18,3,2025-01-01T00:00:04
5,Random,4,116,116,3,0,1,3,1,2025-01-01T00:00:05
5,PSO,34,86,91,16,2,16,0,34,2025-01-01T00:00:05
5,SFM,22,98,101,13,1,8,18,4,2025-01-01T00:00:05
5,PSO SFM(Staff all evacuate),19,101,103,10,1,8,16,3,2025-01-01T00:00:05
5,PSO SFM(Staff all assist),20,100,102,11,2,7,20,0,2025-01-01T00:00:05
5,PSO SFM(Half Assist),20,100,103,12,1,7,18,2,2025-01-01T00:00:05
5,PSO SFM(Assist Mobile),21,99,102,14,2,5,17,4,2025-01-01T00:00:05
5,PSO SFM(Assist Elderly),17,103,106,10,1,6,12,5,2025-01-01T00:00:05
5,PSO SFM(Top Evac),21,99,101,10,2,9,20,1,2025-01-01T00:00:05
5,PSO SFM(Avoid Top),20,100,102,12,1,7,19,1,2025-01-01T00:00:05
5,PSO SFM(Zone Sweep),20,100,104,10,2,8,19,1,2025-01-01T00:00:05
5,MFO SFM,17,103,105,10,1,6,16,1,2025-01-01T00:00:05
5,ACO SFM,23,97,99,14,1,8,20,3,2025-01-01T00:00:05
6,Random,5,115,116,3,0,2,4,1,2025-01-01T00:00:06
6,PSO,39,81,86,18,4,17,0,39,2025-01-01T00:00:06
6,SFM,24,96,98,15,1,8,20,4,2025-01-01T00:00:06
6,PSO SFM(Staff all evacuate),22,98,101,13,1,8,19,3,2025-01-01T00:00:06
6,PSO SFM(Staff all assist),21,99,100,11,2,8,21,0,2025-01-01T00:00:06
6,PSO SFM(Half Assist),22,98,100,13,1,8,19,3,2025-01-01T00:00:06
6,PSO SFM(Assist Mobile),24,96,99,16,2,6,18,6,2025-01-01T00:00:06
6,PSO SFM(Assist Elderly),19,101,103,11,2,6,14,5,2025-01-01T00:00:06
6,PSO SFM(Top Evac),22,98,99,11,2,9,21,1,2025-01-01T00:00:06
6,PSO SFM(Avoid Top),22,98,100,13,1,8,21,1,2025-01-01T00:00:06
6,PSO SFM(Zone Sweep),22,98,100,12,2,8,21,1,2025-01-01T00:00:06
6,MFO SFM,23,97,103,13,2,8,19,4,2025-01-01T00:00:06
6,ACO SFM,26,94,97,16,1,9,22,4,2025-01-01T00:00:06
7,Random,5,115,115,3,0,2,4,1,2025-01-01T00:00:07
7,PSO,42,78,81,19,5,18,0,42,2025-01-01T00:00:07
7,SFM,28,92,96,19,1,8,23,5,2025-01-01T00:00:07
7,PSO SFM(Staff all evacuate),23,97,98,14,1,8,20,3,2025-01-01T00:00:07
7,PSO SFM(Staff all assist),24,96,99,13,2,9,24,0,2025-01-01T00:00:07
7,PSO SFM(Half Assist),24,96,98,15,1,8,20,4,2025-01-01T00:00:07
7,PSO SFM(Assist Mobile),27,93,96,18,2,7,20,7,2025-01-01T00:00:07
7,PSO SFM(Assist Elderly),22,98,101,13,2,7,15,7,2025-01-01T00:00:07
7,PSO SFM(Top Evac),23,97,98,12,2,9,22,1,2025-01-01T00:00:07
7,PSO SFM(Avoid Top),24,96,98,13,2,9,23,1,2025-01-01T00:00:07
7,PSO SFM(Zone Sweep),22,98,98,12,2,8,21,1,2025-01-01T00:00:07
7,MFO SFM,24,96,97,14,2,8,19,5,2025-01-01T00:00:07
7,ACO SFM,29,91,94,16,2,11,25,4,2025-01-01T00:00:07
8,Random,5,115,115,3,0,2,4,1,2025-01-01T00:00:08
8,PSO,43,77,78,20,5,18,0,43,2025-01-01T00:00:08
8,SFM,30,90,92,21,1,8,25,5,2025-01-01T00:00:08
8,PSO SFM(Staff all evacuate),24,96,97,15,1,8,20,4,2025-01-01T00:00:08
8,PSO SFM(Staff all assist),26,94,96,15,2,9,26,0,2025-01-01T00:00:08
8,PSO SFM(Half Assist),27,93,96,18,1,8,22,5,2025-01-01T00:00:08
8,PSO SFM(Assist Mobile),29,91,93,20,2,7,22,7,2025-01-01T00:00:08
8,PSO SFM(Assist Elderly),24,96,98,15,2,7,17,7,2025-01-01T00:00:08
8,PSO SFM(Top Evac),26,94,97,14,3,9,25,1,2025-01-01T00:00:08
8,PSO SFM(Avoid Top),25,95,96,13,3,9,24,1,2025-01-01T00:00:08
8,PSO SFM(Zone Sweep),26,94,98,16,2,8,25,1,2025-01-01T00:00:08
8,MFO SFM,26,94,96,16,2,8,21,5,2025-01-01T00:00:08
8,ACO SFM,32,88,91,19,2,11,27,5,2025-01-01T00:00:08
9,Random,6,114,115,4,0,2,4,2,2025-01-01T00:00:09
9,PSO,47,73,77,24,5,18,0,47,2025-01-01T00:00:09
9,SFM,32,88,90,21,1,10,26,6,2025-01-01T00:00:09
9,PSO SFM(Staff all evacuate),25,95,96,15,1,9,21,4,2025-01-01T00:00:09
9,PSO SFM(Staff all assist),28,92,94,15,3,10,28,0,2025-01-01T00:00:09
9,PSO SFM(Half Assist),30,90,93,19,1,10,25,5,2025-01-01T00:00:09
9,PSO SFM(Assist Mobile),31,89,91,20,2,9,24,7,2025-01-01T00:00:09
9,PSO SFM(Assist Elderly),25,95,96,16,2,7,17,8,2025-01-01T00:00:09
9,PSO SFM(Top Evac),27,93,94,15,3,9,26,1,2025-01-01T00:00:09
9,PSO SFM(Avoid Top),26,94,95,14,3,9,25,1,2025-01-01T00:00:09
9,PSO SFM(Zone Sweep),28,92,94,17,2,9,27,1,2025-01-01T00:00:09
9,MFO SFM,29,91,94,19,2,8,24,5,2025-01-01T00:00:09
9,ACO SFM,34,86,88,20,3,11,29,5,2025-01-01T00:00:09
10,Random,6,114,114,4,0,2,4,2,2025-01-01T00:00:10
10,PSO,50,70,73,26,5,19,0,50,2025-01-01T00:00:10
10,SFM,34,86,88,21,2,11,28,6,2025-01-01T00:00:10
10,PSO SFM(Staff all evacuate),29,91,95,17,1,11,24,5,2025-01-01T00:00:10
10,PSO SFM(Staff all assist),31,89,92,18,3,10,31,0,2025-01-01T00:00:10
10,PSO SFM(Half Assist),31,89,90,19,2,10,26,5,2025-01-01T00:00:10
10,PSO SFM(Assist Mobile),32,88,89,21,2,9,25,7,2025-01-01T00:00:10
10,PSO SFM(Assist Elderly),28,92,95,16,2,10,20,8,2025-01-01T00:00:10
10,PSO SFM(Top Evac),30,90,93,16,5,9,29,1,2025-01-01T00:00:10
10,PSO SFM(Avoid Top),29,91,94,15,4,10,28,1,2025-01-01T00:00:10
10,PSO SFM(Zone Sweep),30,90,92,19,2,9,29,1,2025-01-01T00:00:10
10,MFO SFM,30,90,91,19,3,8,25,5,2025-01-01T00:00:10
10,ACO SFM,36,84,86,21,3,12,30,6,2025-01-01T00:00:10
11,Random,6,114,114,4,0,2,4,2,2025-01-01T00:00:11
11,PSO,54,66,70,29,5,20,0,54,2025-01-01T00:00:11
11,SFM,36,84,86,22,2,12,30,6,2025-01-01T00:00:11
11,PSO SFM(Staff all evacuate),29,91,91,17,1,11,24,5,2025-01-01T00:00:11
11,PSO SFM(Staff all assist),31,89,89,18,3,10,31,0,2025-01-01T00:00:11
11,PSO SFM(Half Assist),34,86,89,20,3,11,29,5,2025-01-01T00:00:11
11,PSO SFM(Assist Mobile),34,86,88,22,2,10,27,7,2025-01-01T00:00:11
11,PSO SFM(Assist Elderly),30,90,92,17,2,11,22,8,2025-01-01T00:00:11
11,PSO SFM(Top Evac),30,90,90,16,5,9,29,1,2025-01-01T00:00:11
11,PSO SFM(Avoid Top),31,89,91,17,4,10,30,1,2025-01-01T00:00:11
11,PSO SFM(Zone Sweep),33,87,90,19,2,12,32,1,2025-01-01T00:00:11
11,MFO SFM,32,88,90,19,4,9,27,5,2025-01-01T00:00:11
11,ACO SFM,36,84,84,21,3,12,30,6,2025-01-01T00:00:11
12,Random,6,114,114,4,0,2,4,2,2025-01-01T00:00:12
12,PSO,57,63,66,32,5,20,0,57,2025-01-01T00:00:12
12,SFM,37,83,84,22,3,12,31,6,2025-01-01T00:00:12
12,PSO SFM(Staff all evacuate),30,90,91,18,1,11,25,5,2025-01-01T00:00:12
12,PSO SFM(Staff all assist),33,87,89,18,3,12,33,0,2025-01-01T00:00:12
12,PSO SFM(Half Assist),35,85,86,21,3,11,30,5,2025-01-01T00:00:12
12,PSO SFM(Assist Mobile),37,83,86,25,2,10,29,8,2025-01-01T00:00:12
12,PSO SFM(Assist Elderly),33,87,90,19,2,12,25,8,2025-01-01T00:00:12
12,PSO SFM(Top Evac),31,89,90,17,5,9,30,1,2025-01-01T00:00:12
12,PSO SFM(Avoid Top),33,87,89,19,4,10,32,1,2025-01-01T00:00:12
12,PSO SFM(Zone Sweep),35,85,87,20,2,13,34,1,2025-01-01T00:00:12
12,MFO SFM,34,86,88,21,4,9,29,5,2025-01-01T00:00:12
12,ACO SFM,37,83,84,21,3,13,31,6,2025-01-01T00:00:12
13,Random,6,114,114,4,0,2,4,2,2025-01-01T00:00:13
13,PSO,59,61,63,33,5,21,0,59,2025-01-01T00:00:13
13,SFM,39,81,83,23,3,13,33,6,2025-01-01T00:00:13
13,PSO SFM(Staff all evacuate),30,90,90,18,1,11,25,5,2025-01-01T00:00:13
13,PSO SFM(Staff all assist),36,84,87,20,4,12,36,0,2025-01-01T00:00:13
13,PSO SFM(Half Assist),35,85,85,21,3,11,30,5,2025-01-01T00:00:13
13,PSO SFM(Assist Mobile),39,81,83,27,2,10,31,8,2025-01-01T00:00:13
13,PSO SFM(Assist Elderly),34,86,87,20,2,12,26,8,2025-01-01T00:00:13
13,PSO SFM(Top Evac),31,89,89,17,5,9,30,1,2025-01-01T00:00:13
13,PSO SFM(Avoid Top),33,87,87,19,4,10,32,1,2025-01-01T00:00:13
13,PSO SFM(Zone Sweep),37,83,85,21,3,13,35,2,2025-01-01T00:00:13
13,MFO SFM,36,84,86,22,4,10,31,5,2025-01-01T00:00:13
13,ACO SFM,41,79,83,24,4,13,34,7,2025-01-01T00:00:13
14,Random,6,114,114,4,0,2,4,2,2025-01-01T00:00:14
14,PSO,61,59,61,34,6,21,0,61,2025-01-01T00:00:14
14,SFM,40,80,81,24,3,13,34,6,2025-01-01T00:00:14
14,PSO SFM(Staff all evacuate),31,89,90,19,1,11,25,6,2025-01-01T00:00:14
14,PSO SFM(Staff all assist),37,83,84,21,4,12,37,0,2025-01-01T00:00:14
14,PSO SFM(Half Assist),37,83,85,22,3,12,32,5,2025-01-01T00:00:14
14,PSO SFM(Assist Mobile),41,79,81,28,2,11,32,9,2025-01-01T00:00:14
14,PSO SFM(Assist Elderly),36,84,86,22,2,12,27,9,2025-01-01T00:00:14
14,PSO SFM(Top Evac),33,87,89,18,5,10,32,1,2025-01-01T00:00:14
14,PSO SFM(Avoid Top),35,85,87,20,5,10,34,1,2025-01-01T00:00:14
14,PSO SFM(Zone Sweep),39,81,83,22,3,14,37,2,2025-01-01T00:00:14
14,MFO SFM,38,82,84,24,4,10,32,6,2025-01-01T00:00:14
14,ACO SFM,44,76,79,25,4,15,37,7,2025-01-01T00:00:14
15,Random,6,114,114,4,0,2,4,2,2025-01-01T00:00:15
15,PSO,67,53,59,38,6,23,0,67,2025-01-01T00:00:15
15,SFM,42,78,80,24,3,15,36,6,2025-01-01T00:00:15
15,PSO SFM(Staff all evacuate),33,87,89,19,1,13,27,6,2025-01-01T00:00:15
15,PSO SFM(Staff all assist),39,81,83,21,4,14,39,0,2025-01-01T00:00:15
15,PSO SFM(Half Assist),37,83,83,22,3,12,32,5,2025-01-01T00:00:15
15,PSO SFM(Assist Mobile),43,77,79,29,2,12,34,9,2025-01-01T00:00:15
15,PSO SFM(Assist Elderly),38,82,84,22,3,13,29,9,2025-01-01T00:00:15
15,PSO SFM(Top Evac),34,86,87,18,5,11,33,1,2025-01-01T00:00:15
15,PSO SFM(Avoid Top),36,84,85,20,5,11,35,1,2025-01-01T00:00:15
15,PSO SFM(Zone Sweep),41,79,81,24,3,14,39,2,2025-01-01T00:00:15
15,MFO SFM,41,79,82,25,4,12,34,7,2025-01-01T00:00:15
15,ACO SFM,46,74,76,26,4,16,39,7,2025-01-01T00:00:15
16,Random,7,113,114,4,0,3,5,2,2025-01-01T00:00:16
16,PSO,69,51,53,40,6,23,0,69,2025-01-01T00:00:16
16,SFM,44,76,78,25,3,16,37,7,2025-01-01T00:00:16
16,PSO SFM(Staff all evacuate),33,87,87,19,1,13,27,6,2025-01-01T00:00:16
16,PSO SFM(Staff all assist),39,81,81,21,4,14,39,0,2025-01-01T00:00:16
16,PSO SFM(Half Assist),37,83,83,22,3,12,32,5,2025-01-01T00:00:16
16,PSO SFM(Assist Mobile),44,76,77,29,3,12,34,10,2025-01-01T00:00:16
16,PSO SFM(Assist Elderly),40,80,82,24,3,13,31,9,2025-01-01T00:00:16
16,PSO SFM(Top Evac),37,83,86,21,5,11,36,1,2025-01-01T00:00:16
16,PSO SFM(Avoid Top),38,82,84,21,5,12,37,1,2025-01-01T00:00:16
16,PSO SFM(Zone Sweep),42,78,79,25,3,14,40,2,2025-01-01T00:00:16
16,MFO SFM,43,77,79,26,4,13,36,7,2025-01-01T00:00:16
16,ACO SFM,46,74,74,26,4,16,39,7,2025-01-01T00:00:16
17,Random,7,113,113,4,0,3,5,2,2025-01-01T00:00:17
17,PSO,73,47,51,43,6,24,0,73,2025-01-01T00:00:17
17,SFM,45,75,76,26,3,16,38,7,2025-01-01T00:00:17
17,PSO SFM(Staff all evacuate),35,85,87,20,2,13,29,6,2025-01-01T00:00:17
17,PSO SFM(Staff all assist),43,77,81,22,4,17,43,0,2025-01-01T00:00:17
17,PSO SFM(Half Assist),40,80,83,22,4,14,35,5,2025-01-01T00:00:17
17,PSO SFM(Assist Mobile),45,75,76,29,3,13,35,10,2025-01-01T00:00:17
17,PSO SFM(Assist Elderly),40,80,80,24,3,13,31,9,2025-01-01T00:00:17
17,PSO SFM(Top Evac),37,83,83,21,5,11,36,1,2025-01-01T00:00:17
17,PSO SFM(Avoid Top),40,80,82,22,5,13,39,1,2025-01-01T00:00:17
17,PSO SFM(Zone Sweep),43,77,78,25,3,15,41,2,2025-01-01T00:00:17
17,MFO SFM,47,73,77,28,5,14,40,7,2025-01-01T00:00:17
17,ACO SFM,46,74,74,26,4,16,39,7,2025-01-01T00:00:17
18,Random,7,113,113,4,0,3,5,2,2025-01-01T00:00:18
18,PSO,77,43,47,46,6,25,0,77,2025-01-01T00:00:18
18,SFM,47,73,75,28,3,16,38,9,2025-01-01T00:00:18
18,PSO SFM(Staff all evacuate),35,85,85,20,2,13,29,6,2025-01-01T00:00:18
18,PSO SFM(Staff all assist),44,76,77,23,4,17,44,0,2025-01-01T00:00:18
18,PSO SFM(Half Assist),41,79,80,23,4,14,36,5,2025-01-01T00:00:18
18,PSO SFM(Assist Mobile),46,74,75,29,4,13,36,10,2025-01-01T00:00:18
18,PSO SFM(Assist Elderly),43,77,80,25,3,15,33,10,2025-01-01T00:00:18
18,PSO SFM(Top Evac),37,83,83,21,5,11,36,1,2025-01-01T00:00:18
18,PSO SFM(Avoid Top),43,77,80,24,6,13,41,2,2025-01-01T00:00:18
18,PSO SFM(Zone Sweep),45,75,77,27,3,15,43,2,2025-01-01T00:00:18
18,MFO SFM,47,73,73,28,5,14,40,7,2025-01-01T00:00:18
18,ACO SFM,48,72,74,27,4,17,41,7,2025-01-01T00:00:18
19,Random,7,113,113,4,0,3,5,2,2025-01-01T00:00:19
19,PSO,78,42,43,47,6,25,0,78,2025-01-01T00:00:19
19,SFM,48,72,73,29,3,16,39,9,2025-01-01T00:00:19
19,PSO SFM(Staff all evacuate),36,84,85,21,2,13,30,6,2025-01-01T00:00:19
19,PSO SFM(Staff all assist),46,74,76,25,4,17,46,0,2025-01-01T00:00:19
19,PSO SFM(Half Assist),43,77,79,25,4,14,38,5,2025-01-01T00:00:19
19,PSO SFM(Assist Mobile),50,70,74,32,4,14,38,12,2025-01-01T00:00:19
19,PSO SFM(Assist Elderly),44,76,77,25,3,16,34,10,2025-01-01T00:00:19
19,PSO SFM(Top Evac),40,80,83,22,5,13,39,1,2025-01-01T00:00:19
19,PSO SFM(Avoid Top),45,75,77,26,6,13,42,3,2025-01-01T00:00:19
19,PSO SFM(Zone Sweep),46,74,75,28,3,15,44,2,2025-01-01T00:00:19
19,MFO SFM,48,72,73,28,6,14,41,7,2025-01-01T00:00:19
19,ACO SFM,49,71,72,28,4,17,42,7,2025-01-01T00:00:19
20,Random,7,113,113,4,0,3,5,2,2025-01-01T00:00:20
20,PSO,81,39,42,50,6,25,0,81,2025-01-01T00:00:20
20,SFM,48,72,72,29,3,16,39,9,2025-01-01T00:00:20
20,PSO SFM(Staff all evacuate),37,83,84,22,2,13,30,7,2025-01-01T00:00:20
20,PSO SFM(Staff all assist),47,73,74,25,4,18,47,0,2025-01-01T00:00:20
20,PSO SFM(Half Assist),44,76,77,25,5,14,38,6,2025-01-01T00:00:20
20,PSO SFM(Assist Mobile),51,69,70,32,4,15,39,12,2025-01-01T00:00:20
20,PSO SFM(Assist Elderly),44,76,76,25,3,16,34,10,2025-01-01T00:00:20
20,PSO SFM(Top Evac),40,80,80,22,5,13,39,1,2025-01-01T00:00:20
20,PSO SFM(Avoid Top),47,73,75,28,6,13,44,3,2025-01-01T00:00:20
20,PSO SFM(Zone Sweep),48,72,74,29,4,15,46,2,2025-01-01T00:00:20
20,MFO SFM,48,72,72,28,6,14,41,7,2025-01-01T00:00:20
20,ACO SFM,51,69,71,29,5,17,44,7,2025-01-01T00:00:20
21,Random,7,113,113,4,0,3,5,2,2025-01-01T00:00:21
21,PSO,83,37,39,52,6,25,0,83,2025-01-01T00:00:21
21,SFM,48,72,72,29,3,16,39,9,2025-01-01T00:00:21
21,PSO SFM(Staff all evacuate),39,81,83,23,3,13,31,8,2025-01-01T00:00:21
21,PSO SFM(Staff all assist),49,71,73,26,5,18,49,0,2025-01-01T00:00:21
21,PSO SFM(Half Assist),47,73,76,27,5,15,41,6,2025-01-01T00:00:21
21,PSO SFM(Assist Mobile),54,66,69,33,5,16,42,12,2025-01-01T00:00:21
21,PSO SFM(Assist Elderly),45,75,76,25,4,16,35,10,2025-01-01T00:00:21
21,PSO SFM(Top Evac),41,79,80,22,6,13,40,1,2025-01-01T00:00:21
21,PSO SFM(Avoid Top),49,71,73,28,7,14,46,3,2025-01-01T00:00:21
21,PSO SFM(Zone Sweep),48,72,72,29,4,15,46,2,2025-01-01T00:00:21
21,MFO SFM,49,71,72,29,6,14,41,8,2025-01-01T00:00:21
21,ACO SFM,52,68,69,30,5,17,45,7,2025-01-01T00:00:21
22,Random,8,112,113,4,0,4,6,2,2025-01-01T00:00:22
22,PSO,85,35,37,53,6,26,0,85,2025-01-01T00:00:22
22,SFM,49,71,72,29,4,16,40,9,2025-01-01T00:00:22
22,PSO SFM(Staff all evacuate),42,78,81,24,3,15,33,9,2025-01-01T00:00:22
22,PSO SFM(Staff all assist),49,71,71,26,5,18,49,0,2025-01-01T00:00:22
22,PSO SFM(Half Assist),50,70,73,28,5,17,44,6,2025-01-01T00:00:22
22,PSO SFM(Assist Mobile),56,64,66,35,5,16,43,13,2025-01-01T00:00:22
22,PSO SFM(Assist Elderly),48,72,75,27,4,17,38,10,2025-01-01T00:00:22
22,PSO SFM(Top Evac),42,78,79,22,6,14,41,1,2025-01-01T00:00:22
22,PSO SFM(Avoid Top),50,70,71,28,8,14,47,3,2025-01-01T00:00:22
22,PSO SFM(Zone Sweep),50,70,72,30,5,15,48,2,2025-01-01T00:00:22
22,MFO SFM,51,69,71,30,7,14,42,9,2025-01-01T00:00:22
22,ACO SFM,54,66,68,32,5,17,47,7,2025-01-01T00:00:22
23,Random,8,112,112,4,0,4,6,2,2025-01-01T00:00:23
23,PSO,86,34,35,54,6,26,0,86,2025-01-01T00:00:23
23,SFM,49,71,71,29,4,16,40,9,2025-01-01T00:00:23
23,PSO SFM(Staff all evacuate),43,77,78,25,3,15,34,9,2025-01-01T00:00:23
23,PSO SFM(Staff all assist),49,71,71,26,5,18,49,0,2025-01-01T00:00:23
23,PSO SFM(Half Assist),52,68,70,29,5,18,45,7,2025-01-01T00:00:23
23,PSO SFM(Assist Mobile),57,63,64,35,5,17,44,13,2025-01-01T00:00:23
23,PSO SFM(Assist Elderly),49,71,72,28,4,17,39,10,2025-01-01T00:00:23
23,PSO SFM(Top Evac),43,77,78,22,6,15,42,1,2025-01-01T00:00:23
23,PSO SFM(Avoid Top),50,70,70,28,8,14,47,3,2025-01-01T00:00:23
23,PSO SFM(Zone Sweep),53,67,70,30,6,17,51,2,2025-01-01T00:00:23
23,MFO SFM,53,67,69,31,7,15,44,9,2025-01-01T00:00:23
23,ACO SFM,57,63,66,34,5,18,48,9,2025-01-01T00:00:23
24,Random,8,112,112,4,0,4,6,2,2025-01-01T00:00:24
24,PSO,87,33,34,55,6,26,0,87,2025-01-01T00:00:24
24,SFM,49,71,71,29,4,16,40,9,2025-01-01T00:00:24
24,PSO SFM(Staff all evacuate),43,77,77,25,3,15,34,9,2025-01-01T00:00:24
24,PSO SFM(Staff all assist),50,70,71,26,6,18,50,0,2025-01-01T00:00:24
24,PSO SFM(Half Assist),54,66,68,29,6,19,47,7,2025-01-01T00:00:24
24,PSO SFM(Assist Mobile),58,62,63,35,6,17,45,13,2025-01-01T00:00:24
24,PSO SFM(Assist Elderly),49,71,71,28,4,17,39,10,2025-01-01T00:00:24
24,PSO SFM(Top Evac),43,77,77,22,6,15,42,1,2025-01-01T00:00:24
24,PSO SFM(Avoid Top),52,68,70,30,8,14,49,3,2025-01-01T00:00:24
24,PSO SFM(Zone Sweep),54,66,67,31,6,17,52,2,2025-01-01T00:00:24
24,MFO SFM,54,66,67,31,7,16,45,9,2025-01-01T00:00:24
24,ACO SFM,58,62,63,35,5,18,49,9,2025-01-01T00:00:24
25,Random,8,112,112,4,0,4,6,2,2025-01-01T00:00:25
25,PSO,88,32,33,56,6,26,0,88,2025-01-01T00:00:25
25,SFM,49,71,71,29,4,16,40,9,2025-01-01T00:00:25
25,PSO SFM(Staff all evacuate),45,75,77,25,4,16,36,9,2025-01-01T00:00:25
25,PSO SFM(Staff all assist),51,69,70,27,6,18,51,0,2025-01-01T00:00:25
25,PSO SFM(Half Assist),54,66,66,29,6,19,47,7,2025-01-01T00:00:25
